,Data,TMAX,TMIN,PRCP
0,195504,310,150,0
1,195505,310,200,0
2,195506,300,160,103
3,195507,270,150,18
4,195508,230,140,24
5,195509,230,150,84
6,195510,240,150,208
7,195511,270,130,0
8,195512,240,130,0
9,195601,240,90,0
10,195602,260,120,0
11,195603,290,130,0
12,195604,320,160,0
13,195605,280,140,222
14,195606,230,140,0
15,195607,250,140,132
16,195608,250,140,153
17,195609,270,150,158
18,195610,260,160,6
19,195612,240,120,0
20,195701,260,120,0
21,195702,270,140,0
22,195703,280,130,0
23,195704,300,160,0
24,195705,310,170,0
25,195706,290,180,17
26,195707,260,160,92
27,195708,280,160,0
28,195710,240,130,0
29,195711,270,150,0
30,195712,230,70,0
31,195801,240,110,58
32,195802,270,140,0
33,195803,280,120,0
34,195804,320,160,0
35,195805,320,140,0
36,195806,310,160,52
37,195807,270,150,95
38,195808,270,150,0
39,195809,250,160,285
40,195810,270,160,96
41,195811,240,160,92
42,195812,230,130,0
43,195901,230,100,143
44,195902,270,150,0
45,195903,270,150,0
46,195904,300,150,0
47,195905,290,170,0
48,195906,310,170,0
49,195907,270,150,35
50,195908,250,150,102
51,195909,250,140,0
52,195910,240,160,23
53,195911,260,160,0
54,195912,250,120,0
55,196001,260,120,0
56,196002,260,130,0
57,196003,280,120,0
58,196004,320,170,0
59,196005,330,180,0
60,196006,320,190,0
61,196007,290,170,0
62,196008,270,160,243
63,196009,260,170,43
64,196010,270,160,0
65,196011,260,140,0
66,196012,250,110,0
67,196101,260,140,0
68,196102,270,150,0
69,196103,300,170,0
70,196104,310,160,0
71,196105,300,160,0
72,196106,300,150,0
73,196107,260,160,0
74,196108,250,140,19
75,196109,270,160,186
76,196110,250,150,0
77,196111,270,140,0
78,196112,220,100,0
79,196201,240,100,0
80,196202,260,110,0
81,196203,300,160,0
82,196204,310,160,0
83,196209,-9999,-9999,0
84,196210,270,160,0
85,196211,240,130,0
86,196212,250,135,0
87,196301,280,120,0
88,196302,270,150,0
89,196303,260,130,0
90,196305,210,130,0
91,196308,260,190,0
92,196309,240,145,0
93,196310,260,160,0
94,196311,190,140,46
95,196312,145,120,124
96,196402,240,160,186
97,196403,270,130,0
98,196404,280,180,0
99,196405,330,180,0
100,196406,240,150,0
101,196407,240,160,0
102,196408,250,160,0
103,196409,250,160,80
104,196410,230,150,300
105,196411,240,130,110
106,196412,230,115,0
107,196501,240,140,180
108,196505,260,150,0
109,196506,270,180,0
110,196507,230,160,0
111,196508,240,160,17
112,196509,250,140,0
113,196510,235,150,16
114,196511,240,115,282
115,196512,235,120,0
116,196601,250,130,239
117,196602,220,70,0
118,196603,280,140,0
119,196604,285,165,0
120,196605,275,180,0
121,196606,280,170,0
122,196607,275,170,0
123,196608,275,160,0
124,196609,260,160,0
125,196610,260,135,0
126,196611,260,130,161
127,196612,241,109,27
128,196701,262,130,20
129,196702,272,140,0
130,196703,270,131,0
131,196704,300,164,0
132,196705,326,186,0
133,196706,329,184,0
134,196707,266,168,0
135,196708,279,142,0
136,196709,267,158,0
137,196710,278,146,23
138,196711,260,128,0
139,196712,255,142,37
140,196801,253,139,22
141,196802,260,126,0
142,196803,270,130,0
143,196804,310,173,0
144,196805,284,170,0
145,196806,300,173,0
146,196807,263,164,0
147,196808,280,160,22
148,196809,234,154,0
149,196810,260,143,185
150,196811,270,152,0
151,196812,270,143,10
152,196901,260,140,0
153,196902,292,144,0
154,196903,300,260,0
155,196904,251,104,0
156,196905,310,170,0
157,196906,282,180,0
158,196907,272,160,0
159,196908,260,168,0
160,196909,220,160,4
161,196910,248,150,0
162,196911,256,156,0
163,196912,252,148,80
164,197001,250,133,7
165,197002,274,130,0
166,197003,278,152,0
167,197004,318,168,0
168,197005,334,189,0
169,197006,280,160,0
170,197007,240,140,0
171,197008,260,167,0
172,197009,240,170,0
173,197010,269,142,13
174,197011,280,142,105
175,197012,273,130,0
176,197101,273,120,0
177,197102,300,133,0
178,197106,300,158,0
179,197107,250,140,0
180,197108,256,180,0
181,197109,245,165,32
182,197110,225,165,15
183,197111,250,110,90
184,197112,250,120,55
185,197201,250,105,150
186,197202,230,115,0
187,197203,260,110,120
188,197204,285,115,0
189,197205,290,180,0
190,197206,290,160,0
191,197207,275,170,0
192,197208,220,150,0
193,197209,250,170,140
194,197210,240,150,0
195,197211,270,155,10
196,197212,240,160,175
197,197301,260,100,0
198,197302,240,120,0
199,197303,270,130,0
200,197304,310,160,0
201,197305,300,150,0
202,197306,280,160,0
203,197308,230,150,0
204,197309,240,150,0
205,197310,230,160,0
206,197311,250,130,0
207,197312,240,100,15
208,197401,-9999,-9999,135
209,197402,265,145,0
210,197403,270,100,0
211,197404,300,145,0
212,197405,300,160,0
213,197406,280,180,0
214,197407,240,180,0
215,197408,240,160,0
216,197409,250,150,65
217,197410,230,140,10
218,197411,270,160,0
219,197412,250,130,25
220,197501,250,130,55
221,197502,300,160,0
222,197503,290,170,0
223,197504,300,170,0
224,197505,310,190,0
225,197506,240,160,0
226,197507,260,150,0
227,197508,270,160,0
228,197509,220,160,10
229,197510,270,150,0
230,197511,260,150,0
231,197512,220,130,45
232,197601,240,115,0
233,197602,230,130,0
234,197603,260,120,0
235,197604,290,140,0
236,197605,295,160,10
237,197606,280,160,0
238,197607,240,160,25
239,197608,265,170,0
240,197609,260,170,0
241,197610,230,150,320
242,197611,230,140,0
243,197612,230,150,0
244,197701,250,130,400
245,197702,250,130,175
246,197703,260,130,0
247,197704,320,160,0
248,197705,280,160,0
249,197706,270,150,0
250,197707,260,160,0
251,197708,280,150,0
252,197709,250,160,0
253,197710,260,145,180
254,197711,285,165,0
255,197712,210,140,25
256,197801,275,140,115
257,197802,285,145,15
258,197803,305,150,0
259,197804,295,160,0
260,197805,295,155,0
261,197806,265,170,0
262,197807,245,155,0
263,197808,270,150,0
264,197809,260,155,150
265,197810,240,150,5
266,197811,250,135,5
267,197812,275,160,0
268,197901,260,125,0
269,197902,285,130,0
270,197903,275,140,0
271,197904,320,185,0
272,197905,310,175,0
273,197906,305,160,0
274,197907,265,170,0
275,197908,260,145,0
276,197909,280,145,0
277,197910,270,110,0
278,197911,290,110,0
279,197912,290,95,150
280,198001,250,125,0
281,198002,240,130,0
282,198003,260,130,0
283,198004,330,170,0
284,198005,315,170,0
285,198006,320,170,0
286,198007,270,170,0
287,198008,260,160,0
288,198009,240,160,0
289,198010,200,160,14
290,198011,250,130,268
291,198012,255,140,232
292,198101,-9999,-9999,0
293,198106,-9999,-9999,0
294,198110,-9999,-9999,0
295,198201,-9999,-9999,-9999
296,198203,-9999,-9999,-9999
297,198205,-9999,-9999,-9999
298,198301,-9999,-9999,-9999
299,198501,-9999,-9999,-9999
300,198607,-9999,-9999,-9999
301,198608,-9999,-9999,-9999
302,198609,-9999,-9999,-9999
303,198610,-9999,-9999,-9999
304,198611,-9999,-9999,-9999
305,198701,-9999,-9999,-9999
306,198703,-9999,-9999,-9999
307,198704,-9999,-9999,-9999
308,198705,-9999,-9999,-9999
309,198706,-9999,-9999,-9999
310,198707,306,167,-9999
311,198708,-9999,-9999,10
312,198802,-9999,-9999,-9999
313,198803,309,-9999,-9999
314,198804,316,147,0
315,198805,-9999,-9999,0
316,198806,-9999,-9999,-9999
317,198807,257,135,-9999
318,198808,-9999,-9999,43
319,198809,-9999,-9999,-9999
320,198903,297,89,-9999
321,198904,322,152,0
322,198905,306,171,0
323,198906,328,157,0
324,198908,-9999,-9999,0
325,198910,-9999,-9999,-9999
326,198911,280,130,-9999
327,198912,280,138,0
328,199001,-9999,-9999,0
329,199002,296,139,0
330,199003,290,116,0
331,199004,-9999,147,0
332,199005,350,168,0
333,199006,330,169,0
334,199007,270,159,0
335,199008,-9999,140,343
336,199009,289,127,25
337,199010,-9999,140,33
338,199011,250,122,0
339,199012,250,115,0
340,199101,-9999,133,0
341,199102,285,123,0
342,199103,306,116,0
343,199104,-9999,157,0
344,199105,326,167,0
345,199106,336,172,0
346,199107,256,145,0
347,199108,300,157,434
348,199109,288,153,0
349,199110,298,166,46
350,199111,274,152,10
351,199112,-9999,121,0
352,199201,-9999,-9999,0
353,199202,164,107,0
354,199203,-9999,141,15
355,199204,320,162,0
356,199205,330,170,13
357,199206,266,145,0
358,199207,300,140,0
359,199208,292,102,25
360,199209,290,160,86
361,199210,260,131,0
362,199211,277,140,0
363,199212,260,133,3
364,199301,-9999,108,0
365,199302,-9999,120,0
366,199303,308,135,0
367,199304,333,151,0
368,199305,305,160,0
369,199306,360,178,0
370,199307,-9999,152,0
371,199308,-9999,155,185
372,199310,-9999,-9999,0
373,199311,-9999,147,0
374,199312,-9999,-9999,0
375,199401,-9999,96,0
376,199402,271,125,0
377,199403,300,96,0
378,199404,-9999,140,0
379,199405,348,146,0
380,199406,-9999,187,0
381,199407,275,167,0
382,199408,282,137,0
383,199409,253,142,48
384,199410,-9999,140,0
385,199411,273,126,76
386,199412,-9999,126,5
387,199501,-9999,110,8
388,199502,-9999,124,5
389,199503,301,105,0
390,199504,-9999,136,61
391,199505,320,143,0
392,199506,-9999,124,0
393,199507,214,90,0
394,199508,266,136,0
395,199509,-9999,114,201
396,199510,-9999,134,84
397,199511,284,-9999,183
398,199512,-9999,90,0
399,199601,-9999,106,79
400,199602,252,0,0
401,199603,-9999,-9999,3
402,199604,-9999,130,0
403,199605,308,135,0
404,199606,-9999,90,0
405,199607,-9999,161,38
406,199608,-9999,-9999,130
407,199609,270,-9999,13
408,199610,260,141,0
409,199611,-9999,152,0
410,199612,270,-9999,5
411,199701,-9999,123,0
412,199702,285,-9999,0
413,199703,-9999,115,0
414,199704,-9999,-9999,0
415,199705,-9999,-9999,0
416,199706,-9999,-9999,0
417,199707,-9999,-9999,0
418,199708,-9999,-9999,10
419,199709,-9999,-9999,99
420,199710,290,-9999,0
421,199711,293,168,86
422,199712,283,171,36
423,199801,-9999,114,0
424,199802,272,-9999,0
425,199803,315,91,0
426,199804,353,131,0
427,199805,-9999,162,0
428,199806,359,-9999,0
429,199807,301,201,0
430,199909,-9999,166,0
431,199910,268,-9999,127
432,199911,-9999,146,0D
433,199912,248,-9999,351
434,200001,-9999,78,130D
435,200002,-9999,-9999,-9999
436,200003,290,-9999,-9999
437,200004,335,125,0
438,200005,312,147,0
439,200006,-9999,146,0
440,200007,284,-9999,-9999
441,200008,299,157,0
442,200009,276,156,0
443,200010,272,116,0
444,200011,-9999,138,-9999
445,200012,272,-9999,38
446,200101,-9999,115,104
447,200102,-9999,-9999,0
